Anime_name,episode,duration,members,Score
Fullmetal Alchemist: Brotherhood,TV (64 eps),Apr 2009 - Jul 2010,"3,263,142 members",9.09
Steins;Gate,TV (24 eps),Apr 2011 - Sep 2011,"2,505,884 members",9.07
Gintama°,TV (51 eps),Apr 2015 - Mar 2016,"614,907 members",9.06
Shingeki no Kyojin Season 3 Part 2,TV (10 eps),Apr 2019 - Jul 2019,"2,195,508 members",9.05
Bleach: Sennen Kessen-hen,TV (13 eps),Oct 2022 - Dec 2022,"501,080 members",9.04
Gintama: The Final,Movie (1 eps),Jan 2021 - Jan 2021,"142,386 members",9.04
Hunter x Hunter (2011),TV (148 eps),Oct 2011 - Sep 2014,"2,746,452 members",9.04
Gintama',TV (51 eps),Apr 2011 - Mar 2012,"542,758 members",9.03
Gintama': Enchousen,TV (13 eps),Oct 2012 - Mar 2013,"318,160 members",9.03
Kaguya-sama wa Kokurasetai: Ultra Romantic,TV (13 eps),Apr 2022 - Jun 2022,"878,589 members",9.03
Ginga Eiyuu Densetsu,OVA (110 eps),Jan 1988 - Mar 1997,"313,541 members",9.02
Fruits Basket: The Final,TV (13 eps),Apr 2021 - Jun 2021,"455,642 members",8.99
Gintama.,TV (12 eps),Jan 2017 - Mar 2017,"307,074 members",8.98
Shingeki no Kyojin: The Final Season - Kanketsu-hen,Special (2 eps),Mar 2023 - Nov 2023,"563,174 members",8.96
Gintama,TV (201 eps),Apr 2006 - Mar 2010,"1,045,973 members",8.94
3-gatsu no Lion 2nd Season,TV (22 eps),Oct 2017 - Mar 2018,"393,425 members",8.93
Clannad: After Story,TV (24 eps),Oct 2008 - Mar 2009,"1,172,027 members",8.93
Koe no Katachi,Movie (1 eps),Sep 2016 - Sep 2016,"2,262,809 members",8.93
Code Geass: Hangyaku no Lelouch R2,TV (25 eps),Apr 2008 - Sep 2008,"1,742,626 members",8.91
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie (1 eps),Jul 2013 - Jul 2013,"235,745 members",8.91
Jujutsu Kaisen 2nd Season,TV (23 eps),Jul 2023 -,"691,039 members",8.89
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV (14 eps),Jul 2018 - Oct 2018,"192,831 members",8.88
Monster,TV (74 eps),Apr 2004 - Sep 2005,"1,069,414 members",8.88
Owarimonogatari 2nd Season,TV (7 eps),Aug 2017 - Aug 2017,"390,129 members",8.88
Violet Evergarden Movie,Movie (1 eps),Sep 2020 - Sep 2020,"580,616 members",8.88
Kimi no Na wa.,Movie (1 eps),Aug 2016 - Aug 2016,"2,672,237 members",8.84
Kingdom 3rd Season,TV (26 eps),Apr 2020 - Oct 2021,"96,360 members",8.81
Bocchi the Rock!,TV (12 eps),Oct 2022 - Dec 2022,"501,774 members",8.81
Gintama.: Shirogane no Tamashii-hen,TV (12 eps),Jan 2018 - Mar 2018,"207,041 members",8.81
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie (1 eps),Dec 2022 - Dec 2022,"227,035 members",8.81
The First Slam Dunk,Movie (1 eps),Dec 2022 - Dec 2022,"32,082 members",8.81
Vinland Saga Season 2,TV (24 eps),Jan 2023 - Jun 2023,"535,856 members",8.8
